step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
7,TRANSFER,258559.5,C483145802,5102,0,C193864812,302931.44,461760.23,0,0
1,DEBIT,3548.72,C1596144422,12427,8878.28,C564742142,13271.31,16820.03,0,0
7,TRANSFER,43136.46,C1698148964,0,0,C2086207545,180565,202129.37,0,0
8,CASH_IN,64757.04,C1809562624,5170,69927.04,C2141994208,454115.91,0,0,0
1,CASH_IN,218753.79,C296234255,6833.58,225587.37,C22805895,498911.69,651524.92,0,0
2,PAYMENT,499.09,C1792711692,23431.66,22932.57,M1947397483,0,0,0,0
5,CASH_IN,29351.64,C853343978,1.00E+07,1.01E+07,C187649742,99535.4,19647.88,0,0
7,CASH_OUT,138268.63,C748629954,0,0,C1589477624,183324,0,0,0
7,PAYMENT,3929.12,C889568188,104,0,M388864946,0,0,0,0
8,CASH_OUT,453256.79,C608080514,101396.29,0,C2006081398,1534234.21,4743010.67,0,0
7,PAYMENT,15103.78,C1690873790,0,0,M1501377438,0,0,0,0
7,PAYMENT,18596.2,C2017703518,0,0,M1299158298,0,0,0,0
7,PAYMENT,4173.47,C157322525,96,0,M633673177,0,0,0,0
8,CASH_OUT,195773.05,C833452780,0,0,C1313534832,3271521.53,4605990.97,0,0
1,TRANSFER,80333.28,C992743048,0,0,C1749186397,321592.98,277515.05,0,0
8,PAYMENT,927.2,C515585569,49607.56,48680.36,M871639601,0,0,0,0
7,TRANSFER,394011.3,C1905811488,30586,0,C382934088,4016,1030696.9,0,0
8,CASH_OUT,186611.01,C292454002,6027,0,C1207178960,37628.4,240727.2,0,0
1,CASH_IN,173842.23,C1587872480,5674131,5847973.23,C1291286504,231914.67,66575.5,0,0
7,CASH_OUT,178514.46,C684948803,51383,0,C1234059684,0,588891.42,0,0
1,CASH_IN,217668.38,C662925691,1252326.68,1469995.06,C476800120,347373.26,49864.36,0,0
8,CASH_IN,128180.6,C932102776,35732,163912.6,C1790470194,35739,0,0,0
8,TRANSFER,1862201.76,C1869931542,20241,0,C614438306,51225.52,1138741.39,0,0
4,PAYMENT,4076.16,C420502151,95732,91655.84,M138087695,0,0,0,0
7,TRANSFER,1125081.99,C190476512,0,0,C803116137,1.67E+07,2.38E+07,0,0
8,CASH_OUT,38014.08,C85728027,0,0,C1282745381,170465.33,343807.88,0,0
5,PAYMENT,8169.21,C2079989429,260173,252003.79,M850683953,0,0,0,0
7,PAYMENT,15527.03,C1814597744,5118,0,M1776649574,0,0,0,0
8,PAYMENT,4319.2,C931763205,0,0,M846070351,0,0,0,0
7,PAYMENT,7016.75,C1914000149,19592,12575.25,M750444785,0,0,0,0
2,PAYMENT,2678.1,C1506648430,84754,82075.9,M1574503358,0,0,0,0
7,PAYMENT,10089.51,C1677732082,16805,6715.49,M1219970301,0,0,0,0
8,PAYMENT,9589.51,C299021767,25022,15432.49,M1096363683,0,0,0,0
8,PAYMENT,176.47,C219662316,544186.12,544009.66,M1702576459,0,0,0,0
1,CASH_OUT,107292.25,C1298380324,0,0,C1096283470,199498.92,0,0,0
1,TRANSFER,2317408.88,C1219553025,4165916.16,1848507.28,C1883840933,1.44E+07,1.69E+07,0,0
1,PAYMENT,17540.66,C1414744767,160564,143023.34,M1366581056,0,0,0,0
8,PAYMENT,10825.89,C1632629072,182886.26,172060.37,M1594914946,0,0,0,0
8,TRANSFER,69217.63,C1908850464,0,0,C619068319,306066.17,225745.92,0,0
8,CASH_OUT,57138.06,C1023525633,0,0,C1287328228,150624.43,485209.81,0,0
1,CASH_IN,532111.14,C109065770,4244257.62,4776368.76,C997608398,893395.39,157982.12,0,0
1,PAYMENT,6730.59,C1250644519,43809.91,37079.31,M1425405511,0,0,0,0
7,TRANSFER,238567.79,C798836643,3316,0,C717951588,0,238567.79,0,0
8,PAYMENT,5631.73,C312289201,9252.05,3620.32,M154380345,0,0,0,0
8,CASH_OUT,201899.37,C1463384604,0,0,C1247600089,4874307.49,6965916.76,0,0
2,PAYMENT,21987.06,C160549854,0,0,M2027363825,0,0,0,0
8,CASH_IN,29239.57,C2144990427,3136325.12,3165564.69,C345679794,372028.68,415516.29,0,0
6,PAYMENT,5718.98,C1819055096,0,0,M954764819,0,0,0,0
8,CASH_OUT,58451.87,C1235755976,41558,0,C1834992330,57337,0,0,0
5,PAYMENT,4112.38,C1238642607,16261,12148.62,M1229511404,0,0,0,0
8,TRANSFER,1463376.47,C1703806299,120606,0,C1396755641,0,2666422.03,0,0
7,PAYMENT,12186.4,C561151572,203233,191046.6,M784430053,0,0,0,0
8,CASH_OUT,12012.08,C906609212,0,0,C662736689,8425232.67,8488789.41,0,0
7,CASH_OUT,218118.95,C270763925,0,0,C2093546827,249882,43336.92,0,0
8,PAYMENT,720.27,C870171547,3650.16,2929.89,M689497047,0,0,0,0
8,CASH_IN,12549.62,C1368083751,1.07E+07,1.07E+07,C295372946,484633.54,472083.92,0,0
7,CASH_IN,46304.47,C403651304,7579547.62,7625852.08,C1315729466,862912.59,803908.4,0,0
8,PAYMENT,5440.74,C1240123471,0,0,M1588049067,0,0,0,0
1,TRANSFER,114580.22,C1471800355,0,0,C1234776885,2095066.14,2025098.66,0,0
8,TRANSFER,923879.53,C1797080726,30270.09,0,C1636786811,1.09E+07,1.45E+07,0,0
3,PAYMENT,25486.13,C1812422301,125894,100407.87,M1191464829,0,0,0,0
6,PAYMENT,10475.55,C1057161751,109741.89,99266.34,M801808302,0,0,0,0
8,CASH_IN,94792.33,C1022932693,38107.1,132899.43,C1273939873,787906.82,1525464.32,0,0
1,PAYMENT,4867.56,C130721104,30853.2,25985.64,M560549459,0,0,0,0
8,PAYMENT,3461.47,C1834258743,10902,7440.53,M957143326,0,0,0,0
8,CASH_IN,161765.4,C1926275924,5909623.38,6071388.78,C58333888,2594891.27,4173485.4,0,0
1,PAYMENT,7286.11,C1272753974,1049,0,M1641027464,0,0,0,0
7,PAYMENT,599,C738381688,525,0,M1048559742,0,0,0,0
2,CASH_IN,103835.15,C168398198,9718372.45,9822207.6,C564160838,1086805.17,1070702.75,0,0
1,PAYMENT,4182.93,C1470911015,0,0,M1268974304,0,0,0,0
1,TRANSFER,70543.76,C1964926542,80351.55,9807.8,C997608398,1061097.67,157982.12,0,0
7,PAYMENT,4375.35,C2052833283,26083,21707.65,M1236424697,0,0,0,0
7,PAYMENT,3807.3,C461688893,1073,0,M1104718965,0,0,0,0
8,PAYMENT,5657.86,C1019879798,150987,145329.14,M2138270635,0,0,0,0
8,CASH_OUT,211460.74,C1215540046,0,0,C1435804085,275507.53,1501855.54,0,0
4,PAYMENT,1559.58,C34737133,93733,92173.42,M1450174524,0,0,0,0
8,CASH_IN,154885.42,C1323401276,60234,215119.42,C1897050650,105816.65,700941.98,0,0
7,CASH_OUT,104669.17,C1597751577,0,0,C553790651,463878.12,32266.57,0,0
6,CASH_IN,108259.9,C727050829,8626510,8734769.9,C1554540309,825005,5652054.58,0,0
1,CASH_OUT,691738.36,C1514214932,0,0,C1590550415,6285707.02,1.92E+07,0,0
3,CASH_IN,22608.48,C1689169705,4907886.05,4930494.53,C1973538135,125556.04,102947.56,0,0
8,PAYMENT,8883.19,C132047013,406,0,M314095560,0,0,0,0
8,CASH_IN,167876.58,C1105958723,1.16E+07,1.18E+07,C978740207,1240698.73,1428005.14,0,0
1,PAYMENT,2873.37,C594916129,0,0,M1537912396,0,0,0,0
7,PAYMENT,5144.23,C942579242,10991,5846.77,M348292129,0,0,0,0
1,PAYMENT,2851.83,C1674403916,10646,7794.17,M1088239991,0,0,0,0
7,PAYMENT,1803.28,C877317123,0,0,M1357570394,0,0,0,0
8,CASH_OUT,212210.8,C411580445,19964.91,0,C1207946845,695647.14,1079004.45,0,0
7,CASH_OUT,273637.81,C1316040205,36317.32,0,C1907159141,607048,2541785.35,0,0
7,CASH_IN,77816.36,C289304070,3722147.34,3799963.7,C1471633238,157217.94,79401.58,0,0
8,CASH_OUT,110149.43,C66993482,0,0,C662267010,1519010.91,1605242.18,0,0
1,PAYMENT,3545.37,C328197868,98028,94482.63,M1584918772,0,0,0,0
8,PAYMENT,19536.54,C1518659820,0,0,M1706111519,0,0,0,0
3,PAYMENT,14694.94,C1623924438,234028,219333.06,M509522442,0,0,0,0
7,CASH_IN,27839.25,C1892610515,4674897.97,4702737.22,C232834050,94716.89,155491.95,0,0
8,CASH_IN,447818.48,C1398334494,21850,469668.48,C1587143371,77922.92,72042.92,0,0
8,PAYMENT,28423.82,C256799920,0,0,M1196715231,0,0,0,0
1,CASH_OUT,210370.09,C2121995675,0,0,C1170794006,1442298.03,22190.99,0,0
8,PAYMENT,90.84,C1141178616,4231,4140.16,M1691169378,0,0,0,0
8,CASH_IN,52163.7,C1757208400,8230327.08,8282490.77,C2053639017,218250.51,143799.17,0,0
8,CASH_IN,15255.62,C432720176,82489,97744.62,C549269634,85889,0,0,0
7,CASH_IN,92810.94,C230722998,844827.22,937638.16,C283923651,264081.4,121107.61,0,0
7,PAYMENT,10533.04,C1227700386,0,0,M1069736192,0,0,0,0
7,CASH_OUT,201868.78,C339941030,0,0,C392292416,3829901.87,6564973.2,0,0
7,PAYMENT,2920.79,C1322380751,65133,62212.21,M1229889395,0,0,0,0
7,TRANSFER,732167.83,C1541565890,0,0,C1220897602,1692140.25,1.04E+07,0,0
8,PAYMENT,104.08,C279040441,33277,33172.92,M1026965134,0,0,0,0
6,CASH_IN,133663.18,C1495678843,2766917,2900580.18,C655381473,194531.93,11489.91,0,0
8,TRANSFER,362124.88,C1041427071,0,0,C329829198,4496702.45,5102121.72,0,0
6,PAYMENT,9555.32,C706067443,30607,21051.68,M1187091280,0,0,0,0
7,TRANSFER,352961.29,C997001305,0,0,C1982828534,1497472.72,1912526.2,0,0
8,CASH_OUT,46570.29,C1556369975,132,0,C1859965144,244158.38,998355.01,0,0
1,PAYMENT,10493.4,C1137935956,19198,8704.6,M1966480630,0,0,0,0
5,PAYMENT,17975.9,C437306494,280350.31,262374.4,M222947526,0,0,0,0
8,CASH_OUT,139208.1,C1030218167,11260.14,0,C1459757869,739678.57,4042386.17,0,0
7,PAYMENT,20642.59,C526266570,21392,749.41,M60347317,0,0,0,0
7,PAYMENT,14463.47,C1584929615,107055,92591.53,M462020284,0,0,0,0
8,CASH_IN,149516.02,C715515400,100643,250159.02,C955610633,30427,0,0,0
5,PAYMENT,20526.64,C773512559,0,0,M1182463628,0,0,0,0
8,PAYMENT,13661.13,C1747813864,1644688.95,1631027.82,M364102079,0,0,0,0
7,PAYMENT,19021.43,C460206830,27750,8728.57,M2039317063,0,0,0,0
8,CASH_OUT,151207.18,C695126903,19097,0,C975650387,0,151207.18,0,0
4,CASH_IN,208096.95,C925829785,0,208096.95,C1453128758,486798.02,42270.49,0,0
7,CASH_IN,171241.5,C341946145,212012.23,383253.74,C985537694,198306,192794.26,0,0
1,PAYMENT,8625.97,C2114270481,22414,13788.03,M1612853208,0,0,0,0
8,CASH_OUT,271189.65,C1897305098,10568,0,C1150043970,0,123050.78,0,0
7,PAYMENT,8071.86,C1455386398,462.93,0,M1254252690,0,0,0,0
6,PAYMENT,4669.49,C1166224261,209490.26,204820.77,M271874232,0,0,0,0
7,DEBIT,2859.77,C1648138632,80492,77632.23,C126778243,14984,17843.77,0,0
7,PAYMENT,8045.41,C1365940203,21411,13365.59,M4964230,0,0,0,0
7,CASH_IN,75736.62,C1358393798,2241542.08,2317278.71,C1964390106,89365.47,0,0,0
8,CASH_OUT,42160.77,C2147390029,0,0,C2006081398,1492073.43,4743010.67,0,0
4,CASH_IN,159958.57,C697818620,5141975.06,5301933.63,C728526866,5370198.47,6671931.33,0,0
8,CASH_IN,84515.42,C2138165375,49277,133792.42,C158876320,2199912.94,2984846.84,0,0
8,CASH_OUT,426830.03,C548236749,36799.34,0,C248609774,1.18E+07,1.30E+07,0,0
6,PAYMENT,7193.03,C192329688,21448,14254.97,M471031651,0,0,0,0
7,TRANSFER,276486.01,C1822771670,0,0,C861720625,851637.95,1752674.41,0,0
7,TRANSFER,187429.05,C52401871,0,0,C515132998,588750.46,776179.51,0,0
1,PAYMENT,6131.21,C1527086220,0,0,M515273883,0,0,0,0
7,PAYMENT,6152.67,C1174778379,196366,190213.33,M653039729,0,0,0,0
1,TRANSFER,77957.68,C207471778,0,0,C1761291320,94900,22233.65,0,0
1,PAYMENT,973.18,C1990733619,10762,9788.82,M1806378373,0,0,0,0
6,CASH_IN,14768.26,C1957019376,4426524.54,4441292.8,C665576141,6227828.76,5954556.4,0,0
6,PAYMENT,476.55,C646482993,0,0,M604047477,0,0,0,0
8,PAYMENT,4380.82,C1604289258,30759,26378.18,M585147955,0,0,0,0
6,CASH_IN,44264.07,C1585358875,8367276.84,8411540.91,C1746150957,262257.05,113988.19,0,0
8,PAYMENT,11463.47,C169661888,2020,0,M1277483421,0,0,0,0
1,CASH_OUT,213490.87,C1907241392,75550.57,0,C1971489295,508139.13,0,0,0
8,TRANSFER,903744.75,C25583326,0,0,C1816986148,1190556.19,6023815.62,0,0
8,CASH_IN,51674.64,C241329855,8243614,8295288.64,C1136811657,172797.17,57238.59,0,0
8,PAYMENT,7668.11,C627012132,29601,21932.89,M1293861567,0,0,0,0
7,PAYMENT,3369.24,C1019636172,21443,18073.76,M1880036664,0,0,0,0
4,PAYMENT,1227.16,C2043313130,7972.29,6745.13,M1425454633,0,0,0,0
1,TRANSFER,1429051.47,C1520267010,0,0,C1590550415,2041543.62,1.92E+07,0,0
7,CASH_OUT,156138.02,C1994161115,0,0,C1060041730,1505703.37,1.65E+07,0,0
8,PAYMENT,4941.29,C144762138,55987,51045.71,M817115172,0,0,0,0
8,CASH_IN,211583.1,C2097459543,6959367.93,7170951.02,C1889395764,1.48E+07,1.58E+07,0,0
7,PAYMENT,3731.88,C1959396625,0,0,M2085795145,0,0,0,0
2,PAYMENT,9707.6,C2142411945,1139,0,M505756829,0,0,0,0
7,PAYMENT,16519.52,C1523623456,334697.82,318178.29,M484794335,0,0,0,0
6,PAYMENT,7463.22,C143751348,9071,1607.78,M1551722332,0,0,0,0
1,CASH_IN,29467.02,C2076249476,6037755.07,6067222.09,C1749186397,322442.98,277515.05,0,0
3,CASH_IN,81874.56,C192486017,4403875.6,4485750.16,C1721246982,1259045.81,1177171.25,0,0
8,TRANSFER,237786.82,C369037177,0,0,C1850180796,8406337.8,8257071.34,0,0
7,TRANSFER,1465989.27,C1660570248,0,0,C1850180796,2339419.98,7837942.9,0,0
8,PAYMENT,15637.72,C1624446308,216554.4,200916.68,M934242577,0,0,0,0
1,CASH_IN,120556.62,C918899286,356275.23,476831.86,C488044861,125760.16,5203.54,0,0
8,TRANSFER,1148892.85,C1585115069,10386,0,C464094472,0,3124312.23,0,0
8,PAYMENT,3824.73,C1341281686,14238.21,10413.48,M1960045845,0,0,0,0
7,PAYMENT,837.82,C1477006441,21598,20760.18,M315925820,0,0,0,0
7,PAYMENT,8700.92,C2020466851,61916,53215.08,M1194181141,0,0,0,0
1,PAYMENT,1994.48,C884111637,59063,57068.52,M703440120,0,0,0,0
8,PAYMENT,6202.85,C668301747,12394,6191.15,M211551210,0,0,0,0
8,PAYMENT,3405.68,C865890537,0,0,M1993887495,0,0,0,0
8,CASH_OUT,182138.42,C197474302,34904,0,C2133732070,39766,1382579.26,0,0
1,PAYMENT,6948.21,C632627844,66575.5,59627.3,M610189734,0,0,0,0
1,PAYMENT,660.52,C755328698,35451,34790.48,M7548983,0,0,0,0
4,PAYMENT,1637.03,C1612539426,220,0,M1981900848,0,0,0,0
6,CASH_OUT,121885.87,C1216926186,0,0,C985934102,1665816.46,2941514.43,0,0
8,CASH_OUT,284929.88,C1850231545,0,0,C1141137903,1.09E+07,1.41E+07,0,0
8,CASH_IN,130620.01,C1317293727,7186025.1,7316645.11,C1203094087,293242.88,375835.62,0,0
4,PAYMENT,1624.21,C276922182,0,0,M759840275,0,0,0,0
1,CASH_IN,155075.41,C1434066477,6356409.58,6511484.99,C1971489295,1035098.36,0,0,0
8,PAYMENT,4932.89,C925480773,3030,0,M2049280322,0,0,0,0
8,PAYMENT,4060.43,C699302992,438360.25,434299.82,M1934687,0,0,0,0
8,PAYMENT,9202.27,C451899796,0,0,M750578896,0,0,0,0
8,CASH_OUT,42797.4,C187626228,536,0,C2025644484,1196168.52,1364270.97,0,0
7,PAYMENT,6596.11,C1788504588,69507,62910.89,M484124940,0,0,0,0
7,PAYMENT,12187.12,C1092083913,117943,105755.88,M1452158309,0,0,0,0
8,CASH_IN,288186.15,C51632319,4662421.08,4950607.23,C1556875182,2239503.04,3585215.55,0,0
6,PAYMENT,16998.22,C1577409761,181805,164806.78,M846778469,0,0,0,0
5,CASH_IN,71887,C564569236,1646760.35,1718647.34,C660143728,103167.33,160577.57,0,0
6,PAYMENT,1537.12,C1583878295,22494,20956.88,M354980344,0,0,0,0
1,PAYMENT,2064.34,C462911221,23466,21401.66,M1577353545,0,0,0,0
8,CASH_OUT,289839.13,C8896147,20572,0,C2020576466,23601,0,0,0
8,CASH_OUT,207244.27,C884418621,0,0,C991505714,1.30E+07,1.40E+07,0,0
7,CASH_OUT,233539.88,C595285180,0,0,C347725669,234130.68,266931.55,0,0
8,PAYMENT,8320.52,C267899220,51635.64,43315.12,M2026811556,0,0,0,0
7,CASH_IN,251926.9,C571514409,6414004.72,6665931.62,C2040603986,1294913.33,1930179.38,0,0
8,CASH_IN,24123.88,C1854916515,8125022.71,8149146.59,C2036926986,226083.29,45538.4,0,0
8,PAYMENT,12563.53,C363559321,17217,4653.47,M1859526558,0,0,0,0
1,PAYMENT,7199.26,C585496942,123307,116107.74,M1784908921,0,0,0,0
7,TRANSFER,528013.15,C905962412,53884,0,C1028574311,777814.86,1305828.01,0,0
7,CASH_IN,67429.95,C1738947043,7432790.14,7500220.09,C141213117,467181,0,0,0
7,CASH_IN,184919.42,C1783218001,1181265.12,1366184.54,C1566246889,325918.37,0,0,0
4,PAYMENT,34.85,C1793759719,27430,27395.15,M476709123,0,0,0,0
7,CASH_IN,162902.6,C334592911,850254.47,1013157.07,C1419794148,2077254.38,2813795.5,0,0
6,PAYMENT,1596.18,C2040099244,16488,14891.82,M1505791217,0,0,0,0
8,CASH_OUT,400500.62,C641730678,2893,0,C184253187,7672175.74,1.02E+07,0,0
8,CASH_IN,85733.74,C186391000,3963735.52,4049469.26,C2104652067,3672825.1,3437239.45,0,0
2,PAYMENT,7766.84,C1204030294,4097.88,0,M1258527853,0,0,0,0
1,PAYMENT,331.4,C1562595588,17423.66,17092.25,M1317963297,0,0,0,0
6,PAYMENT,20669.8,C199329503,62022,41352.2,M740654090,0,0,0,0
6,PAYMENT,10810.96,C1748373433,0,0,M477655945,0,0,0,0
6,PAYMENT,9587.91,C1962297767,5265,0,M814507488,0,0,0,0
8,PAYMENT,1228.95,C1248457023,0,0,M615306131,0,0,0,0
2,CASH_IN,147141.81,C502066023,1398839.54,1545981.34,C557041912,221285.85,74144.04,0,0
7,CASH_IN,287465.23,C1971901551,6442977.18,6730442.42,C2083117811,373118.84,305233.44,0,0
1,CASH_IN,18513.77,C834824701,8505682.45,8524196.22,C306206744,2858335.38,3554299.27,0,0
7,CASH_IN,154516.48,C530049590,1113128.33,1267644.81,C1255024717,1.29E+07,1.70E+07,0,0
1,CASH_OUT,334262.17,C1163088324,1906232.33,1571970.16,C985934102,1288904.4,971418.91,0,0
7,PAYMENT,804.71,C1539226083,20652,19847.29,M1164700555,0,0,0,0
8,PAYMENT,17882.69,C1901512677,0,0,M166947904,0,0,0,0
8,PAYMENT,668.98,C993576454,2970,2301.02,M404906492,0,0,0,0
7,CASH_IN,24035.29,C320198928,430627,454662.29,C1475909248,0,0,0,0
1,PAYMENT,2186.58,C467313213,46265,44078.42,M2045913001,0,0,0,0
1,PAYMENT,8494.71,C1099552523,11129,2634.29,M66724371,0,0,0,0
7,CASH_OUT,91481.71,C369753599,0,0,C1149273771,700383.04,6347068.5,0,0
7,CASH_IN,16589.84,C1094615622,827042.28,843632.12,C967425740,112154,5651,0,0
2,PAYMENT,38.88,C1451708599,0,0,M1042874081,0,0,0,0
8,PAYMENT,1673.25,C1562346831,0,0,M212535805,0,0,0,0
7,CASH_IN,74036.42,C271185362,6819334.58,6893371,C505973878,1091446.54,1461299.3,0,0
8,CASH_IN,23792.21,C432661047,17203,40995.21,C1270516,21831,0,0,0
8,TRANSFER,282530.32,C998125341,10114,0,C638551812,31598,136940.68,0,0
7,PAYMENT,1147.41,C1412194661,0,0,M1402941420,0,0,0,0
4,PAYMENT,1080.65,C1129874021,35125,34044.35,M1871079355,0,0,0,0
7,PAYMENT,10790.56,C862723714,29803,19012.44,M1562661077,0,0,0,0
8,CASH_IN,265838.84,C48768137,3415364.3,3681203.14,C875761527,1455974.47,1238942.28,0,0
7,PAYMENT,483.19,C447484085,54646.5,54163.3,M1448247489,0,0,0,0
8,TRANSFER,67499.12,C973264231,0,0,C1094528209,93823.33,161322.45,0,0
5,CASH_IN,354741.15,C1051471498,3563789.59,3918530.75,C2134357721,405361.32,50620.17,0,0
6,PAYMENT,21795.98,C344967811,378,0,M757762073,0,0,0,0
6,TRANSFER,182524.92,C460107127,66362,0,C1883788127,0,182524.92,0,0
8,TRANSFER,1281371.86,C1254123558,15223,0,C863811613,8159270.11,1.42E+07,0,0
5,PAYMENT,1553.21,C1505424071,129818.15,128264.94,M216421817,0,0,0,0
4,TRANSFER,862977.6,C1162595263,0,0,C214774813,1.25E+07,1.34E+07,0,0
7,CASH_IN,25554.54,C1373114222,1.07E+07,1.07E+07,C935808590,1.27E+07,1.27E+07,0,0
1,CASH_IN,151862.38,C178604517,2617803.34,2769665.72,C920011586,158858.48,0,0,0
8,PAYMENT,7947.51,C199530541,671582.18,663634.67,M964526213,0,0,0,0
8,TRANSFER,864414.21,C312849049,0,0,C1297685781,901290.28,3258726.36,0,0
2,PAYMENT,17925.91,C1182469998,777840.38,759914.47,M1195473402,0,0,0,0
6,CASH_OUT,246039.31,C1254157669,0,0,C193864812,318411.55,302931.44,0,0
6,PAYMENT,3704.47,C303352203,37684,33979.53,M1790250268,0,0,0,0
5,PAYMENT,2499.52,C1562533966,0,0,M37235503,0,0,0,0
8,PAYMENT,8730.04,C1292677829,0,0,M562670661,0,0,0,0
8,CASH_OUT,230969.01,C1248760751,0,0,C1220911229,552804.86,2261741.99,0,0
8,CASH_OUT,306288.39,C113831575,0,0,C1495761010,1192080.68,1969176.6,0,0
7,PAYMENT,560.25,C1823044527,68861,68300.75,M1594046274,0,0,0,0
7,CASH_IN,20163.75,C1773428022,8367897.74,8388061.49,C1953886321,24129,699272.16,0,0
8,TRANSFER,123877.32,C707705906,0,0,C1424731356,605131.61,0,0,0
7,PAYMENT,4574.21,C1027675253,133934,129359.79,M847579868,0,0,0,0
8,CASH_OUT,30704.74,C250980756,23162,0,C1257117293,21220,354275.02,0,0
6,PAYMENT,4411.9,C1832418971,10441,6029.1,M809960622,0,0,0,0
5,CASH_OUT,233312.83,C2050640357,0,0,C1983747920,346101.86,874685.77,0,0
8,TRANSFER,750216.48,C1420355579,0,0,C814900611,2727214.44,4893599.98,0,0
7,PAYMENT,3153.75,C467988572,13189.25,10035.5,M1107476456,0,0,0,0
8,CASH_IN,371809.75,C803846985,1.10E+07,1.14E+07,C62593131,832553.93,208013.13,0,0
1,PAYMENT,8009.83,C763610533,280370.98,272361.15,M1222094219,0,0,0,0
8,PAYMENT,633.01,C605137871,103855,103221.99,M158271024,0,0,0,0
8,CASH_IN,409.52,C287995581,8044913.48,8045323,C1348937989,27494.69,27085.18,0,0
2,PAYMENT,5184.26,C446093644,16098.92,10914.66,M713464342,0,0,0,0
5,PAYMENT,530.4,C1153025988,225668.11,225137.71,M108271693,0,0,0,0
8,PAYMENT,3493.96,C570950952,0,0,M772221076,0,0,0,0
8,CASH_OUT,65352.59,C1673616779,0,0,C755583709,336028.42,127533.46,0,0
8,CASH_IN,66328.73,C877739820,144607.63,210936.36,C515132998,1888523.4,4460317.7,0,0
6,PAYMENT,11329.53,C1918393987,11351,21.47,M1801764705,0,0,0,0
8,PAYMENT,8254.43,C806563082,10454,2199.57,M553408962,0,0,0,0
